time,status,f0_
2024-03-09 01:33:00,approved,1
2024-03-09 01:33:00,denied,2
2024-03-09 01:34:00,approved,6
2024-03-09 01:34:00,denied,3
2024-03-09 01:35:00,denied,1
2024-03-09 01:35:00,approved,4
2024-03-09 01:36:00,approved,3
2024-03-09 01:38:00,approved,4
2024-03-09 01:39:00,approved,2
2024-03-09 01:39:00,denied,1
2024-03-09 01:40:00,approved,1
2024-03-09 01:41:00,approved,1
2024-03-09 01:42:00,approved,4
2024-03-09 01:43:00,approved,5
2024-03-09 01:44:00,approved,6
2024-03-09 01:44:00,denied,1
2024-03-09 01:45:00,approved,3
2024-03-09 01:46:00,approved,1
2024-03-09 01:47:00,approved,1
2024-03-09 01:48:00,approved,1
2024-03-09 01:49:00,approved,1
2024-03-09 01:50:00,approved,4
2024-03-09 01:52:00,approved,2
2024-03-09 01:53:00,approved,2
2024-03-09 01:54:00,approved,1
2024-03-09 01:55:00,approved,4
2024-03-09 01:55:00,denied,2
2024-03-09 01:56:00,approved,3
2024-03-09 01:56:00,denied,2
2024-03-09 01:57:00,denied,2
2024-03-09 01:57:00,approved,2
2024-03-09 01:58:00,approved,1
2024-03-09 01:59:00,denied,1
2024-03-09 02:00:00,approved,2
2024-03-09 02:01:00,approved,3
2024-03-09 02:02:00,denied,1
2024-03-09 02:03:00,approved,4
2024-03-09 02:03:00,denied,1
2024-03-09 02:04:00,approved,2
2024-03-09 02:05:00,denied,1
2024-03-09 02:05:00,approved,1
2024-03-09 02:06:00,approved,1
2024-03-09 02:07:00,approved,1
2024-03-09 02:08:00,approved,1
2024-03-09 02:09:00,approved,2
2024-03-09 02:10:00,approved,2
2024-03-09 02:12:00,approved,2
2024-03-09 02:14:00,approved,2
2024-03-09 02:15:00,approved,1
2024-03-09 02:16:00,approved,1
2024-03-09 02:16:00,denied,1
2024-03-09 02:17:00,approved,2
2024-03-09 02:20:00,approved,1
2024-03-09 02:21:00,approved,1
2024-03-09 02:22:00,approved,1
2024-03-09 02:22:00,denied,1
2024-03-09 02:23:00,denied,1
2024-03-09 02:23:00,approved,1
2024-03-09 02:24:00,approved,2
2024-03-09 02:24:00,denied,1
2024-03-09 02:25:00,approved,1
2024-03-09 02:26:00,approved,1
2024-03-09 02:27:00,approved,1
2024-03-09 02:28:00,approved,3
2024-03-09 02:30:00,approved,1
2024-03-09 02:31:00,denied,1
2024-03-09 02:31:00,approved,3
2024-03-09 02:32:00,approved,2
2024-03-09 02:33:00,approved,1
2024-03-09 02:34:00,approved,1
2024-03-09 02:35:00,denied,1
2024-03-09 02:36:00,approved,1
2024-03-09 02:39:00,approved,3
2024-03-09 02:40:00,approved,4
2024-03-09 02:41:00,denied,1
2024-03-09 02:41:00,approved,1
2024-03-09 02:42:00,approved,2
2024-03-09 02:43:00,approved,1
2024-03-09 02:44:00,approved,1
2024-03-09 02:45:00,approved,1
2024-03-09 02:47:00,approved,1
2024-03-09 02:48:00,approved,1
2024-03-09 02:54:00,approved,2
2024-03-09 02:54:00,denied,1
2024-03-09 02:55:00,approved,1
2024-03-09 02:56:00,approved,2
2024-03-09 02:57:00,approved,1
2024-03-09 02:59:00,approved,1
2024-03-09 03:02:00,approved,1
2024-03-09 03:03:00,approved,3
2024-03-09 03:04:00,approved,3
2024-03-09 03:06:00,approved,1
2024-03-09 03:06:00,denied,1
2024-03-09 03:08:00,approved,1
2024-03-09 03:10:00,approved,1
2024-03-09 03:12:00,denied,2
2024-03-09 03:12:00,approved,2
2024-03-09 03:13:00,denied,1
2024-03-09 03:14:00,approved,1
2024-03-09 03:16:00,approved,1
2024-03-09 03:17:00,approved,1
2024-03-09 03:22:00,denied,1
2024-03-09 03:22:00,approved,2
2024-03-09 03:23:00,approved,2
2024-03-09 03:24:00,approved,1
2024-03-09 03:26:00,approved,2
2024-03-09 03:27:00,approved,2
2024-03-09 03:32:00,approved,4
2024-03-09 03:33:00,approved,1
2024-03-09 03:34:00,approved,2
2024-03-09 03:35:00,approved,1
2024-03-09 03:37:00,approved,1
2024-03-09 03:39:00,denied,2
2024-03-09 03:39:00,approved,1
2024-03-09 03:40:00,denied,1
2024-03-09 03:41:00,denied,1
2024-03-09 03:42:00,denied,2
2024-03-09 03:43:00,denied,2
2024-03-09 03:44:00,denied,1
2024-03-09 03:45:00,approved,1
2024-03-09 03:47:00,approved,2
2024-03-09 03:48:00,approved,4
2024-03-09 03:52:00,approved,1
2024-03-09 03:53:00,denied,1
2024-03-09 03:55:00,denied,1
2024-03-09 03:58:00,denied,1
2024-03-09 03:58:00,approved,1
2024-03-09 04:03:00,approved,1
2024-03-09 04:04:00,approved,1
2024-03-09 04:06:00,approved,1
2024-03-09 04:16:00,approved,1
2024-03-09 04:19:00,approved,2
2024-03-09 04:23:00,denied,1
2024-03-09 04:24:00,denied,1
2024-03-09 04:31:00,approved,1
2024-03-09 04:36:00,approved,1
2024-03-09 04:37:00,approved,2
2024-03-09 04:41:00,approved,2
2024-03-09 04:42:00,approved,1
2024-03-09 04:43:00,approved,2
2024-03-09 04:44:00,approved,1
2024-03-09 04:46:00,approved,1
2024-03-09 04:47:00,approved,1
2024-03-09 04:51:00,approved,1
2024-03-09 04:52:00,approved,2
2024-03-09 04:54:00,approved,1
2024-03-09 04:55:00,approved,1
2024-03-09 04:55:00,denied,1
2024-03-09 04:56:00,approved,2
2024-03-09 04:56:00,denied,2
2024-03-09 04:57:00,approved,1
2024-03-09 04:59:00,approved,2
2024-03-09 05:00:00,approved,2
2024-03-09 05:01:00,approved,1
2024-03-09 05:02:00,approved,3
2024-03-09 05:03:00,approved,1
2024-03-09 05:04:00,approved,1
2024-03-09 05:05:00,approved,1
2024-03-09 05:06:00,approved,2
2024-03-09 05:07:00,approved,1
2024-03-09 05:07:00,denied,1
2024-03-09 05:09:00,approved,1
2024-03-09 05:10:00,approved,3
2024-03-09 05:11:00,approved,2
2024-03-09 05:12:00,approved,3
2024-03-09 05:13:00,approved,2
2024-03-09 05:14:00,denied,1
2024-03-09 05:14:00,approved,1
2024-03-09 05:15:00,denied,2
2024-03-09 05:15:00,approved,2
2024-03-09 05:16:00,approved,3
2024-03-09 05:17:00,denied,1
2024-03-09 05:17:00,approved,2
2024-03-09 05:18:00,denied,2
2024-03-09 05:19:00,denied,1
2024-03-09 05:20:00,approved,1
2024-03-09 05:20:00,denied,1
2024-03-09 05:21:00,approved,3
2024-03-09 05:21:00,denied,2
2024-03-09 05:22:00,approved,2
2024-03-09 05:23:00,approved,1
2024-03-09 05:24:00,approved,3
2024-03-09 05:25:00,approved,4
2024-03-09 05:26:00,approved,4
2024-03-09 05:26:00,denied,1
2024-03-09 05:27:00,approved,3
2024-03-09 05:27:00,denied,3
2024-03-09 05:28:00,approved,6
2024-03-09 05:29:00,approved,4
2024-03-09 05:29:00,denied,1
2024-03-09 05:30:00,denied,3
2024-03-09 05:30:00,approved,7
2024-03-09 05:31:00,approved,4
2024-03-09 05:32:00,approved,4
2024-03-09 05:33:00,approved,5
2024-03-09 05:34:00,approved,3
2024-03-09 05:34:00,denied,3
2024-03-09 05:35:00,approved,4
2024-03-09 05:35:00,denied,1
2024-03-09 05:36:00,denied,1
2024-03-09 05:36:00,approved,5
2024-03-09 05:37:00,approved,6
2024-03-09 05:38:00,approved,8
2024-03-09 05:39:00,approved,7
2024-03-09 05:40:00,approved,6
2024-03-09 05:41:00,denied,1
2024-03-09 05:41:00,approved,7
2024-03-09 05:42:00,approved,8
2024-03-09 05:42:00,denied,2
2024-03-09 05:43:00,approved,7
2024-03-09 05:43:00,denied,1
2024-03-09 05:44:00,approved,5
2024-03-09 05:44:00,denied,1
2024-03-09 05:45:00,approved,8
2024-03-09 05:46:00,approved,7
2024-03-09 05:46:00,denied,1
2024-03-09 05:47:00,denied,1
2024-03-09 05:48:00,denied,4
2024-03-09 05:48:00,approved,8
2024-03-09 05:49:00,approved,12
2024-03-09 05:50:00,approved,14
2024-03-09 05:51:00,denied,1
2024-03-09 05:51:00,approved,10
2024-03-09 05:52:00,approved,10
2024-03-09 05:53:00,approved,6
2024-03-09 05:54:00,approved,9
2024-03-09 05:55:00,approved,10
2024-03-09 05:56:00,approved,8
2024-03-09 05:56:00,denied,1
2024-03-09 05:57:00,approved,11
2024-03-09 05:57:00,denied,2
2024-03-09 05:58:00,denied,1
2024-03-09 05:58:00,approved,10
2024-03-09 05:59:00,denied,2
2024-03-09 05:59:00,refunded,1
2024-03-09 05:59:00,approved,14
2024-03-09 06:00:00,approved,5
2024-03-09 06:00:00,denied,1
2024-03-09 06:01:00,approved,13
2024-03-09 06:01:00,denied,3
2024-03-09 06:02:00,approved,15
2024-03-09 06:02:00,denied,3
2024-03-09 06:03:00,approved,17
2024-03-09 06:03:00,denied,1
2024-03-09 06:04:00,approved,12
2024-03-09 06:04:00,denied,2
2024-03-09 06:05:00,approved,13
2024-03-09 06:06:00,approved,17
2024-03-09 06:06:00,reversed,1
2024-03-09 06:07:00,approved,17
2024-03-09 06:08:00,approved,20
2024-03-09 06:08:00,denied,1
2024-03-09 06:09:00,approved,21
2024-03-09 06:09:00,denied,2
2024-03-09 06:10:00,denied,3
2024-03-09 06:10:00,reversed,1
2024-03-09 06:10:00,approved,23
2024-03-09 06:11:00,approved,24
2024-03-09 06:11:00,denied,2
2024-03-09 06:12:00,denied,1
2024-03-09 06:12:00,approved,20
2024-03-09 06:13:00,approved,20
2024-03-09 06:13:00,denied,1
2024-03-09 06:14:00,approved,19
2024-03-09 06:14:00,denied,2
2024-03-09 06:15:00,approved,22
2024-03-09 06:16:00,approved,20
2024-03-09 06:16:00,denied,3
2024-03-09 06:17:00,denied,2
2024-03-09 06:17:00,backend_reversed,1
2024-03-09 06:17:00,approved,21
2024-03-09 06:18:00,denied,1
2024-03-09 06:18:00,approved,31
2024-03-09 06:19:00,approved,19
2024-03-09 06:19:00,denied,2
2024-03-09 06:20:00,reversed,1
2024-03-09 06:20:00,approved,31
2024-03-09 06:20:00,denied,4
2024-03-09 06:21:00,refunded,1
2024-03-09 06:21:00,approved,34
2024-03-09 06:21:00,denied,4
2024-03-09 06:22:00,approved,20
2024-03-09 06:22:00,denied,3
2024-03-09 06:23:00,approved,34
2024-03-09 06:23:00,backend_reversed,1
2024-03-09 06:23:00,denied,3
2024-03-09 06:24:00,denied,2
2024-03-09 06:24:00,approved,30
2024-03-09 06:25:00,denied,3
2024-03-09 06:25:00,approved,22
2024-03-09 06:26:00,denied,2
2024-03-09 06:26:00,approved,24
2024-03-09 06:27:00,approved,15
2024-03-09 06:27:00,denied,3
2024-03-09 06:28:00,backend_reversed,1
2024-03-09 06:28:00,approved,18
2024-03-09 06:28:00,denied,1
2024-03-09 06:28:00,reversed,1
2024-03-09 06:29:00,denied,3
2024-03-09 06:29:00,approved,33
2024-03-09 06:30:00,approved,22
2024-03-09 06:30:00,denied,2
2024-03-09 06:31:00,denied,8
2024-03-09 06:31:00,approved,38
2024-03-09 06:32:00,denied,5
2024-03-09 06:32:00,approved,28
2024-03-09 06:33:00,denied,5
2024-03-09 06:33:00,approved,34
2024-03-09 06:33:00,reversed,1
2024-03-09 06:34:00,approved,32
2024-03-09 06:34:00,reversed,1
2024-03-09 06:34:00,denied,3
2024-03-09 06:35:00,approved,21
2024-03-09 06:35:00,denied,4
2024-03-09 06:35:00,reversed,1
2024-03-09 06:36:00,approved,32
2024-03-09 06:36:00,reversed,1
2024-03-09 06:36:00,denied,5
2024-03-09 06:37:00,denied,3
2024-03-09 06:37:00,approved,35
2024-03-09 06:38:00,approved,31
2024-03-09 06:38:00,reversed,1
2024-03-09 06:38:00,backend_reversed,1
2024-03-09 06:38:00,denied,5
2024-03-09 06:39:00,approved,42
2024-03-09 06:39:00,denied,1
2024-03-09 06:40:00,approved,39
2024-03-09 06:40:00,denied,4
2024-03-09 06:41:00,denied,3
2024-03-09 06:41:00,approved,40
2024-03-09 06:42:00,denied,3
2024-03-09 06:42:00,approved,52
2024-03-09 06:43:00,denied,7
2024-03-09 06:43:00,approved,41
2024-03-09 06:43:00,backend_reversed,1
2024-03-09 06:44:00,approved,40
2024-03-09 06:44:00,denied,6
2024-03-09 06:45:00,approved,53
2024-03-09 06:45:00,denied,7
2024-03-09 06:46:00,denied,2
2024-03-09 06:46:00,approved,42
2024-03-09 06:47:00,approved,53
2024-03-09 06:47:00,reversed,1
2024-03-09 06:47:00,denied,7
2024-03-09 06:48:00,approved,33
2024-03-09 06:48:00,denied,5
2024-03-09 06:49:00,denied,7
2024-03-09 06:49:00,approved,39
2024-03-09 06:50:00,approved,43
2024-03-09 06:50:00,denied,4
2024-03-09 06:51:00,approved,53
2024-03-09 06:51:00,denied,7
2024-03-09 06:52:00,denied,3
2024-03-09 06:52:00,refunded,3
2024-03-09 06:52:00,approved,45
2024-03-09 06:53:00,denied,7
2024-03-09 06:53:00,approved,48
2024-03-09 06:53:00,refunded,1
2024-03-09 06:54:00,reversed,1
2024-03-09 06:54:00,denied,3
2024-03-09 06:54:00,approved,48
2024-03-09 06:55:00,denied,3
2024-03-09 06:55:00,approved,49
2024-03-09 06:56:00,approved,42
2024-03-09 06:56:00,denied,5
2024-03-09 06:56:00,reversed,1
2024-03-09 06:57:00,backend_reversed,1
2024-03-09 06:57:00,approved,59
2024-03-09 06:57:00,denied,3
2024-03-09 06:58:00,approved,51
2024-03-09 06:58:00,denied,5
2024-03-09 06:58:00,reversed,1
2024-03-09 06:58:00,backend_reversed,1
2024-03-09 06:59:00,refunded,1
2024-03-09 06:59:00,backend_reversed,1
2024-03-09 06:59:00,approved,59
2024-03-09 06:59:00,denied,2
2024-03-09 07:00:00,approved,70
2024-03-09 07:00:00,denied,9
2024-03-09 07:01:00,refunded,1
2024-03-09 07:01:00,denied,5
2024-03-09 07:01:00,approved,44
2024-03-09 07:01:00,reversed,1
2024-03-09 07:02:00,approved,70
2024-03-09 07:02:00,denied,6
2024-03-09 07:03:00,approved,73
2024-03-09 07:03:00,denied,6
2024-03-09 07:04:00,reversed,1
2024-03-09 07:04:00,denied,8
2024-03-09 07:04:00,approved,59
2024-03-09 07:05:00,approved,74
2024-03-09 07:05:00,denied,8
2024-03-09 07:05:00,reversed,1
2024-03-09 07:06:00,reversed,1
2024-03-09 07:06:00,denied,10
2024-03-09 07:06:00,approved,63
2024-03-09 07:06:00,refunded,1
2024-03-09 07:07:00,refunded,1
2024-03-09 07:07:00,approved,63
2024-03-09 07:07:00,denied,2
2024-03-09 07:08:00,approved,75
2024-03-09 07:08:00,denied,6
2024-03-09 07:09:00,approved,65
2024-03-09 07:09:00,denied,7
2024-03-09 07:10:00,approved,66
2024-03-09 07:10:00,denied,11
2024-03-09 07:10:00,reversed,1
2024-03-09 07:11:00,approved,65
2024-03-09 07:11:00,denied,5
2024-03-09 07:11:00,reversed,2
2024-03-09 07:12:00,approved,57
2024-03-09 07:12:00,denied,6
2024-03-09 07:13:00,denied,5
2024-03-09 07:13:00,refunded,1
2024-03-09 07:13:00,approved,68
2024-03-09 07:14:00,approved,69
2024-03-09 07:14:00,denied,4
2024-03-09 07:15:00,denied,3
2024-03-09 07:15:00,approved,73
2024-03-09 07:16:00,denied,10
2024-03-09 07:16:00,approved,63
2024-03-09 07:17:00,backend_reversed,1
2024-03-09 07:17:00,approved,74
2024-03-09 07:17:00,denied,10
2024-03-09 07:17:00,reversed,1
2024-03-09 07:18:00,approved,77
2024-03-09 07:18:00,denied,4
2024-03-09 07:19:00,denied,6
2024-03-09 07:19:00,approved,69
2024-03-09 07:20:00,denied,6
2024-03-09 07:20:00,reversed,1
2024-03-09 07:20:00,approved,66
2024-03-09 07:21:00,approved,83
2024-03-09 07:21:00,denied,4
2024-03-09 07:22:00,approved,84
2024-03-09 07:22:00,denied,5
2024-03-09 07:23:00,denied,6
2024-03-09 07:23:00,approved,86
2024-03-09 07:24:00,approved,89
2024-03-09 07:24:00,denied,6
2024-03-09 07:24:00,reversed,1
2024-03-09 07:25:00,approved,80
2024-03-09 07:25:00,denied,4
2024-03-09 07:26:00,denied,8
2024-03-09 07:26:00,backend_reversed,1
2024-03-09 07:26:00,approved,79
2024-03-09 07:27:00,approved,88
2024-03-09 07:27:00,denied,7
2024-03-09 07:27:00,backend_reversed,1
2024-03-09 07:28:00,denied,8
2024-03-09 07:28:00,approved,71
2024-03-09 07:28:00,reversed,1
2024-03-09 07:29:00,reversed,1
2024-03-09 07:29:00,denied,10
2024-03-09 07:29:00,backend_reversed,1
2024-03-09 07:29:00,approved,81
2024-03-09 07:30:00,denied,10
2024-03-09 07:30:00,backend_reversed,1
2024-03-09 07:30:00,approved,91
2024-03-09 07:31:00,reversed,1
2024-03-09 07:31:00,approved,92
2024-03-09 07:31:00,denied,7
2024-03-09 07:32:00,approved,75
2024-03-09 07:32:00,denied,7
2024-03-09 07:33:00,approved,94
2024-03-09 07:33:00,denied,8
2024-03-09 07:34:00,reversed,1
2024-03-09 07:34:00,approved,74
2024-03-09 07:34:00,denied,5
2024-03-09 07:35:00,approved,77
2024-03-09 07:35:00,denied,10
2024-03-09 07:36:00,backend_reversed,1
2024-03-09 07:36:00,approved,92
2024-03-09 07:36:00,denied,9
2024-03-09 07:37:00,denied,14
2024-03-09 07:37:00,approved,90
2024-03-09 07:38:00,backend_reversed,2
2024-03-09 07:38:00,denied,9
2024-03-09 07:38:00,approved,95
2024-03-09 07:39:00,denied,8
2024-03-09 07:39:00,approved,124
2024-03-09 07:39:00,reversed,1
2024-03-09 07:40:00,approved,91
2024-03-09 07:40:00,denied,10
2024-03-09 07:41:00,denied,9
2024-03-09 07:41:00,refunded,1
2024-03-09 07:41:00,approved,84
2024-03-09 07:42:00,approved,110
2024-03-09 07:42:00,denied,12
2024-03-09 07:43:00,approved,91
2024-03-09 07:43:00,denied,8
2024-03-09 07:44:00,backend_reversed,1
2024-03-09 07:44:00,approved,113
2024-03-09 07:44:00,denied,10
2024-03-09 07:45:00,reversed,1
2024-03-09 07:45:00,approved,102
2024-03-09 07:45:00,denied,6
2024-03-09 07:45:00,refunded,1
2024-03-09 07:46:00,reversed,1
2024-03-09 07:46:00,approved,108
2024-03-09 07:46:00,denied,6
2024-03-09 07:47:00,approved,110
2024-03-09 07:47:00,denied,10
2024-03-09 07:48:00,backend_reversed,1
2024-03-09 07:48:00,approved,104
2024-03-09 07:48:00,denied,10
2024-03-09 07:48:00,refunded,2
2024-03-09 07:49:00,reversed,1
2024-03-09 07:49:00,approved,93
2024-03-09 07:49:00,denied,15
2024-03-09 07:49:00,refunded,1
2024-03-09 07:50:00,approved,110
2024-03-09 07:50:00,denied,17
2024-03-09 07:50:00,refunded,1
2024-03-09 07:50:00,reversed,1
2024-03-09 07:51:00,refunded,1
2024-03-09 07:51:00,denied,21
2024-03-09 07:51:00,approved,110
2024-03-09 07:52:00,reversed,1
2024-03-09 07:52:00,denied,15
2024-03-09 07:52:00,approved,128
2024-03-09 07:53:00,approved,119
2024-03-09 07:53:00,denied,17
2024-03-09 07:54:00,approved,89
2024-03-09 07:54:00,denied,21
2024-03-09 07:55:00,denied,12
2024-03-09 07:55:00,approved,119
2024-03-09 07:56:00,reversed,1
2024-03-09 07:56:00,approved,136
2024-03-09 07:56:00,denied,9
2024-03-09 07:57:00,reversed,1
2024-03-09 07:57:00,approved,124
2024-03-09 07:57:00,denied,17
2024-03-09 07:57:00,backend_reversed,1
2024-03-09 07:58:00,denied,14
2024-03-09 07:58:00,backend_reversed,1
2024-03-09 07:58:00,approved,124
2024-03-09 07:59:00,approved,120
2024-03-09 07:59:00,denied,8
2024-03-09 08:00:00,approved,127
2024-03-09 08:00:00,refunded,1
2024-03-09 08:00:00,denied,8
2024-03-09 08:01:00,approved,124
2024-03-09 08:01:00,denied,9
2024-03-09 08:02:00,approved,134
2024-03-09 08:02:00,backend_reversed,1
2024-03-09 08:02:00,denied,5
2024-03-09 08:03:00,approved,113
2024-03-09 08:03:00,denied,18
2024-03-09 08:03:00,backend_reversed,3
2024-03-09 08:04:00,denied,14
2024-03-09 08:04:00,reversed,1
2024-03-09 08:04:00,refunded,1
2024-03-09 08:04:00,approved,126
2024-03-09 08:05:00,denied,11
2024-03-09 08:05:00,backend_reversed,2
2024-03-09 08:05:00,approved,116
2024-03-09 08:05:00,reversed,3
2024-03-09 08:06:00,denied,23
2024-03-09 08:06:00,reversed,1
2024-03-09 08:06:00,approved,128
2024-03-09 08:06:00,backend_reversed,1
2024-03-09 08:07:00,reversed,1
2024-03-09 08:07:00,approved,128
2024-03-09 08:07:00,denied,18
2024-03-09 08:07:00,backend_reversed,2
2024-03-09 08:08:00,approved,140
2024-03-09 08:08:00,reversed,1
2024-03-09 08:08:00,denied,13
2024-03-09 08:08:00,backend_reversed,2
2024-03-09 08:09:00,reversed,1
2024-03-09 08:09:00,approved,156
2024-03-09 08:09:00,denied,21
2024-03-09 08:10:00,backend_reversed,1
2024-03-09 08:10:00,approved,150
2024-03-09 08:10:00,denied,15
2024-03-09 08:10:00,reversed,1
2024-03-09 08:11:00,approved,137
2024-03-09 08:11:00,denied,12
2024-03-09 08:12:00,approved,153
2024-03-09 08:12:00,denied,21
2024-03-09 08:13:00,denied,21
2024-03-09 08:13:00,reversed,1
2024-03-09 08:13:00,approved,165
2024-03-09 08:14:00,denied,19
2024-03-09 08:14:00,reversed,1
2024-03-09 08:14:00,approved,156
2024-03-09 08:14:00,backend_reversed,1
2024-03-09 08:15:00,approved,176
2024-03-09 08:15:00,backend_reversed,2
2024-03-09 08:15:00,denied,12
2024-03-09 08:16:00,denied,22
2024-03-09 08:16:00,approved,185
2024-03-09 08:17:00,approved,164
2024-03-09 08:17:00,refunded,1
2024-03-09 08:17:00,denied,27
2024-03-09 08:18:00,refunded,1
2024-03-09 08:18:00,approved,163
2024-03-09 08:18:00,denied,16
2024-03-09 08:19:00,approved,182
2024-03-09 08:19:00,denied,22
2024-03-09 08:20:00,approved,158
2024-03-09 08:20:00,refunded,2
2024-03-09 08:20:00,reversed,2
2024-03-09 08:20:00,denied,16
2024-03-09 08:21:00,refunded,1
2024-03-09 08:21:00,approved,187
2024-03-09 08:21:00,denied,25
2024-03-09 08:22:00,approved,180
2024-03-09 08:22:00,reversed,3
2024-03-09 08:22:00,denied,18
2024-03-09 08:23:00,approved,177
2024-03-09 08:23:00,denied,21
